id,annotation,width,height,cell_type,plate_time,sample_date,sample_id,elapsed_timedelta
0a6ecc5fe78a,329777 8 330480 9 331184 9 331887 11 332591 11 333294 12 333998 12 334701 13 335405 13 336108 15 336812 15 337516 15 338219 16 338923 16 339627 15 340331 15 341035 14 341739 13 342443 13 343147 12 343851 12 344561 5,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
0a6ecc5fe78a,271037 1 271741 1 272445 1 273149 1 273853 1 274557 1 275261 1 275965 1 276669 1 277373 1 278077 1 278781 1 279485 1 280189 2 280893 2 281597 2 282301 2 283005 2 283709 2 284413 2 285117 2 285820 3 286524 3 287228 3 287932 3 288636 3 289339 4 290043 4 290747 4 291451 4 292155 4 292858 5 293562 5 294266 5 294970 5 295673 6 296377 6 297081 6 297785 7 298488 8 299192 8 299895 9 300599 9 301303 9 302006 10 302710 10 303414 10 304118 10 304821 11 305525 11 306229 11 306933 11 307636 12 308340 12 309044 12 309748 12 310452 12 311155 13 311859 13 312563 13 313266 14 313970 14 314674 14 315378 15 316083 14 316787 14 317491 14 318195 14 318899 14 319604 13 320308 13 321012 13 321716 13 322420 13 323124 13 323828 13 324533 12 325237 12 325941 12 326645 12 327349 12 328053 12 328757 12 329462 11 330166 11 330870 11 331575 10 332279 10 332984 9 333688 9 334393 8 335097 8 335802 7 336506 7 337211 6 337917 4 338622 3 339326 3 340031 2 340736 1,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
0a6ecc5fe78a,291930 4 292631 9 293331 13 294033 16 294735 18 295438 17 296140 17 296842 17 297545 15 298247 15 298950 14 299652 13 300354 13 301057 12 301759 12 302462 12 303165 17 303868 18 304570 20 305254 2 305273 21 305959 3 305976 22 306663 1 306666 2 306679 23 307368 1 307372 2 307383 23 308073 1 308078 1 308087 23 308777 1 308783 1 308791 23 309482 1 309488 1 309495 23 310186 1 310193 1 310197 25 310886 40 311592 38 312297 37 313003 35 313708 34 314414 12 314444 2 315119 11 315823 10 316527 10 317231 10 317935 10 318640 8 319344 8 320048 8 320752 9 321456 9 322162 7 322869 5 323576 2,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
0a6ecc5fe78a,308013 8 308052 16 308718 14 308742 14 308772 2 309423 56 310129 55 310834 55 311539 54 312245 53 312951 17 312987 17 313693 17 314397 18 315102 17 315807 17 316512 16 317216 17 317921 16 318626 15 319332 13 320037 11 320743 9 321450 6 322156 3,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
0a6ecc5fe78a,277817 1 278520 3 279223 3 279926 4 280629 4 281331 5 282030 10 282718 4 282728 15 283421 24 284125 21 284828 20 285531 18 286235 14 286938 9 287641 7 288345 7 289048 7 289752 7 290455 7 291158 8 291862 8 292565 9 293268 10 293971 11 294674 13 295377 15 296080 16 296784 17 297487 19 298190 21 298893 23 299596 25 300299 26 301001 29 301703 32 302404 37 303105 42 303807 60 304508 62 305198 76 305902 75 306605 22 306676 4 307309 19 308020 8,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
0a6ecc5fe78a,254496 1 255199 2 255903 1 256606 2 257310 2 258013 3 258717 2 259420 3 260124 3 260827 3 261531 3 262234 4 262938 3 263641 4 264345 4 265048 5 265752 4 266455 5 267159 5 267862 5 268564 7 269267 8 269969 10 270672 10 271374 12 272077 13 272781 12 273484 13 274188 13 274892 12 275596 12 276299 13 277003 13 277707 12 278410 13 279112 14 279815 15 280518 15 281222 14 281926 14 282630 13 283334 13 284037 14 284740 15 285443 17 286146 18 286848 20 287551 21 288254 22 288957 23 289660 24 290363 25 291067 26 291771 26 292474 27 293178 27 293882 3 293906 2,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
0a6ecc5fe78a,281909 6 282611 9 283314 10 284018 10 284722 10 285426 10 286130 10 286835 9 287539 9 288243 9 288947 9 289651 9 290355 9 291060 8 291764 8 292468 7 293172 7 293875 7 294579 7 295283 6 295987 6 296690 6 297394 5 298098 5 298802 4 299505 5 300209 4 300913 4 301617 4 302321 4 303026 3 303730 3,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
0a6ecc5fe78a,258069 4 258769 8 259472 9 260175 10 260879 10 261582 10 262286 10 262990 9 263694 9 264397 9 265101 9 265805 8 266482 4 266508 9 267183 3 267190 2 267211 9 267889 2 267896 2 267914 11 267934 4 268595 2 268602 3 268616 13 268632 6 268642 4 269301 2 269309 2 269318 34 270007 1 270015 2 270020 38 270708 55 271415 41 272121 36 272828 30 273534 24 274237 22 274921 1 274940 21 275625 3 275644 20 276329 1 276332 2 276347 20 277034 1 277038 1 277050 21 277739 1 277743 2 277753 21 278444 1 278449 1 278456 21 279149 1 279154 2 279160 20 279854 1 279860 2 279863 20 280554 29 281260 22 281967 17 282673 13 283379 9 284082 8 284785 7 285488 6 286192 5 286895 5 287598 5 288301 5 289004 4 289707 4 290410 4 291114 3 291817 3 292520 3 293223 2,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
0a6ecc5fe78a,262954 1 263657 4 264360 6 265063 7 265767 8 266470 9 267174 9 267878 9 268581 11 269285 11 269989 11 270692 11 271396 11 272099 11 272803 11 273507 10 274210 10 274914 8 275618 8 276321 8 277025 8 277729 7 278432 8 279136 8 279840 7 280544 7 281247 8 281951 7 282655 7 283359 6 284063 6 284766 7 285470 6 286174 6 286878 6 287583 4 288287 4 288992 2 289697 1,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
0a6ecc5fe78a,316634 1 317336 3 318038 6 318740 8 319443 10 320146 11 320850 11 321553 13 322257 13 322961 13 323665 14 324369 14 325073 15 325778 14 326483 13 327188 13 327892 13 328597 13 329302 12 330007 12 330712 12 331417 11 332123 10 332828 10 333533 9 334238 9 334943 8 335649 7 336354 7 337059 6 337764 6 338469 6 339174 5 339878 6 340583 5 341287 6 341992 5 342696 6 343400 6 344105 5 344809 5 345513 5 346218 4 346922 4 347627 3 348331 3 349035 3 349740 2 350444 2 351149 1 351853 1,704,520,astro,09h00m00s,2020/9/13,astros[cereb]_G11-4_Vessel-361_Ph_4,0 days 09:00:00
